iter	Passed	Remaining
0	86	86529
1	87	43868
2	89	29623
3	90	22421
4	91	18132
5	92	15256
6	93	13197
7	93	11636
8	94	10422
9	95	9449
10	96	8658
11	97	7994
12	97	7432
13	98	6952
14	99	6535
15	100	6176
16	101	5861
17	102	5574
18	103	5323
19	103	5095
20	104	4888
21	105	4700
22	106	4524
23	107	4366
24	108	4224
25	109	4091
26	110	3967
27	111	3853
28	111	3749
29	112	3651
30	113	3559
31	114	3472
32	115	3393
33	116	3317
34	117	3247
35	118	3179
36	119	3118
37	120	3060
38	121	3003
39	122	2950
40	124	2902
41	125	2854
42	126	2808
43	127	2765
44	128	2725
45	129	2685
46	130	2645
47	131	2610
48	132	2575
49	133	2543
50	135	2515
51	136	2484
52	137	2454
53	138	2425
54	139	2399
55	140	2373
56	141	2348
57	143	2325
58	144	2302
59	145	2278
60	146	2256
61	147	2237
62	149	2216
63	150	2197
64	151	2180
65	152	2164
66	154	2146
67	155	2129
68	156	2113
69	157	2097
70	159	2082
71	160	2067
72	161	2053
73	163	2040
74	164	2026
75	165	2014
76	167	2004
77	168	1991
78	169	1978
79	171	1968
80	172	1957
81	173	1947
82	175	1940
83	176	1929
84	178	1922
85	179	1912
86	181	1903
87	182	1896
88	184	1886
89	185	1877
90	187	1868
91	188	1860
92	190	1853
93	191	1845
94	192	1838
95	194	1831
96	196	1825
97	197	1818
98	198	1811
99	200	1803
100	201	1796
101	203	1790
102	204	1783
103	206	1776
104	207	1769
105	209	1763
106	210	1756
107	211	1749
108	213	1742
109	214	1736
110	216	1729
111	217	1724
112	218	1717
113	220	1710
114	221	1704
115	222	1698
116	224	1691
117	225	1687
118	227	1680
119	228	1675
120	229	1669
121	231	1664
122	232	1657
123	234	1654
124	235	1648
125	237	1644
126	238	1639
127	239	1633
128	241	1629
129	242	1624
130	243	1618
131	245	1613
132	246	1608
133	248	1602
134	249	1598
135	250	1593
136	252	1588
137	253	1583
138	254	1578
139	256	1573
140	257	1568
141	258	1563
142	260	1559
143	261	1554
144	262	1549
145	264	1545
146	265	1540
147	266	1535
148	267	1530
149	269	1525
150	270	1522
151	272	1520
152	273	1516
153	275	1512
154	277	1510
155	278	1506
156	280	1503
157	281	1499
158	282	1495
159	284	1491
160	285	1488
161	286	1483
162	288	1480
163	289	1476
164	291	1472
165	292	1469
166	293	1465
167	295	1461
168	296	1457
169	297	1453
170	298	1449
171	300	1445
172	301	1442
173	303	1438
174	304	1434
175	305	1430
176	307	1427
177	308	1424
178	309	1420
179	311	1417
180	312	1413
181	313	1410
182	315	1406
183	316	1402
184	317	1399
185	318	1395
186	320	1391
187	321	1387
188	322	1384
189	323	1380
190	325	1377
191	326	1373
192	327	1371
193	329	1367
194	330	1364
195	332	1361
196	333	1358
197	334	1355
198	336	1352
199	337	1349
200	338	1346
201	339	1343
202	341	1339
203	342	1335
204	343	1332
205	344	1328
206	345	1325
207	347	1321
208	348	1318
209	349	1314
210	350	1312
211	352	1308
212	353	1305
213	354	1302
214	355	1299
215	357	1295
216	358	1292
217	359	1289
218	360	1285
219	362	1283
220	363	1280
221	364	1278
222	366	1275
223	367	1272
224	368	1269
225	369	1266
226	371	1263
227	372	1260
228	373	1258
229	374	1255
230	376	1252
231	377	1249
232	378	1246
233	379	1243
234	381	1240
235	382	1238
236	383	1235
237	385	1233
238	386	1230
239	387	1227
240	388	1224
241	390	1222
242	391	1219
243	392	1216
244	393	1213
245	395	1210
246	396	1207
247	397	1205
248	398	1202
249	399	1199
250	401	1197
251	402	1194
252	403	1192
253	405	1189
254	406	1187
255	407	1185
256	409	1183
257	410	1181
258	411	1178
259	413	1176
260	414	1174
261	416	1172
262	417	1170
263	418	1167
264	420	1165
265	421	1163
266	423	1161
267	424	1158
268	425	1156
269	427	1154
270	428	1152
271	430	1151
272	431	1148
273	432	1147
274	434	1145
275	436	1143
276	437	1141
277	438	1140
278	440	1139
279	442	1137
280	443	1135
281	445	1134
282	446	1132
283	448	1131
284	450	1129
285	452	1128
286	453	1127
287	455	1125
288	456	1124
289	458	1122
290	459	1120
291	461	1118
292	462	1116
293	464	1114
294	465	1113
295	467	1111
296	468	1109
297	470	1107
298	471	1106
299	473	1104
300	474	1102
301	476	1101
302	478	1099
303	479	1098
304	481	1096
305	483	1095
306	484	1094
307	486	1093
308	488	1091
309	489	1089
310	491	1088
311	492	1086
312	494	1085
313	495	1083
314	497	1081
315	498	1079
316	500	1078
317	501	1076
318	503	1074
319	504	1072
320	506	1070
321	508	1069
322	509	1068
323	511	1066
324	512	1064
325	514	1064
326	516	1062
327	518	1061
328	519	1060
329	521	1058
330	522	1056
331	524	1055
332	526	1054
333	528	1052
334	529	1051
335	531	1049
336	532	1048
337	534	1046
338	535	1044
339	537	1043
340	538	1041
341	540	1039
342	541	1038
343	543	1036
344	544	1034
345	546	1032
346	547	1030
347	549	1029
348	550	1027
349	552	1025
350	553	1023
351	555	1021
352	556	1019
353	557	1018
354	559	1016
355	561	1015
356	562	1013
357	563	1011
358	565	1009
359	566	1007
360	567	1005
361	569	1003
362	570	1001
363	571	999
364	573	997
365	574	995
366	576	993
367	577	991
368	578	989
369	580	987
370	581	985
371	582	983
372	584	982
373	585	980
374	586	977
375	588	976
376	589	974
377	590	972
378	592	970
379	593	968
380	594	965
381	595	963
382	597	961
383	598	959
384	599	957
385	600	955
386	602	953
387	603	951
388	604	949
389	605	947
390	606	945
391	608	943
392	609	941
393	610	939
394	611	937
395	613	935
396	614	933
397	615	931
398	616	929
399	617	926
400	619	924
401	620	923
402	621	921
403	622	919
404	624	917
405	625	915
406	626	913
407	628	911
408	629	909
409	630	907
410	631	905
411	632	903
412	634	901
413	635	899
414	636	897
415	637	895
416	638	893
417	640	891
418	641	889
419	642	887
420	643	885
