交易日期,开盘,收盘,最高,最低,成交量,成交额,股票代码
20251020,9.13,9.25,9.29,9.04,1424353.31,130469.69,601939.SH
20251017,9.18,9.22,9.34,9.14,1701796.95,157589.75,601939.SH
20251016,8.93,9.19,9.21,8.93,2020122.21,184051.71,601939.SH
20251015,8.89,8.95,8.98,8.85,1291223.39,115278.40,601939.SH
20251014,8.68,8.89,8.9,8.62,1910550.08,168450.26,601939.SH
20251013,8.69,8.7,8.82,8.62,1451018,126481.35,601939.SH
20251010,8.64,8.7,8.72,8.62,1166096.58,101153.54,601939.SH
20251009,8.56,8.67,8.67,8.5,1087770.82,93297.31,601939.SH
20250930,8.61,8.61,8.62,8.55,917245.56,78749.75,601939.SH
20250929,8.64,8.6,8.68,8.54,1221383.12,105094.65,601939.SH
