交易日期,开盘,收盘,最高,最低,成交量,成交额(万元)
20251020,1455,1457.93,1469.5,1454.88,25949.88,379328.38
20251017,1483.1,1455,1488,1454.03,38085.89,559472.49
20251016,1461.92,1484.91,1484.95,1458.88,45730.15,674916.29
20251015,1450.98,1462,1463,1445.08,42785.4,623340.75
20251014,1429.99,1451.02,1464,1429.99,66672.33,963948.46
20251013,1415.7,1419.2,1422.85,1415.12,46068.8,653314.75
20251010,1437.6,1430,1439.94,1427.5,36001.44,515745.93
20251009,1436,1436.78,1439.38,1420,54918.12,784544.89
20250930,1460,1443.99,1460.76,1440,39363.62,568747.49
20250929,1439.38,1460.86,1469.99,1435,53684.03,779843.46
20250926,1441.18,1435,1447.11,1428.01,45120.71,648088.96
20250925,1442.83,1439,1445.21,1436,33869.73,487327.47
20250924,1434.07,1442,1456.78,1434.07,30743.5,444305.29
20250923,1450.5,1447.42,1457.5,1440,38663,558838.44
20250922,1465.09,1453.35,1467.97,1450.01,34947.08,508505.75
20250919,1467.99,1467.97,1475.5,1457.01,32636.62,478452.89
20250918,1492,1467.96,1497.8,1463.5,49721.25,734747.75
20250917,1499.99,1493,1510.28,1490.01,30330.54,453477.06
20250916,1515.1,1499.98,1520.99,1496.21,32717.89,492837.45
20250915,1515.87,1515.1,1517.48,1501.5,25827.03,390192.97
20250912,1526,1516,1538.02,1510.53,33722.09,513218.49
20250911,1522.01,1523.5,1526.02,1508.5,37238.96,564277.85
20250910,1506.66,1522.01,1529.95,1496,49663.31,754146.00
20250909,1505,1505,1509.95,1493.42,35742.77,536665.00
20250908,1483,1501.23,1506.44,1477.5,51382.98,768206.57
20250905,1471,1483,1486.97,1464,37388.48,551931.22
20250904,1472,1472.66,1479.3,1460.47,47746.76,701708.47
20250903,1491,1480.55,1503.5,1466,45045.03,665601.11
20250902,1478.66,1491.3,1509,1478,56688.37,847001.28
20250901,1482.2,1476.1,1488,1465.7,45123.38,665891.86
20250829,1453,1480,1482.58,1452,62256.48,915970.15
20250828,1447.97,1446.1,1456.1,1438.77,39281.77,568367.33
20250827,1481.88,1448,1484.93,1448,56006.09,818416.91
20250826,1490.32,1481.61,1494.23,1480.01,39602.13,588391.70
20250825,1470.01,1490.33,1496,1466,65324.55,967671.95
20250822,1448.88,1463.95,1464,1444.77,44970.58,654486.74
20250821,1453.45,1448.25,1454.99,1443.65,30890.57,447044.17
20250820,1438,1450,1452.8,1430.02,45804.66,662309.57
20250819,1433.5,1438,1446.66,1432,46371.86,667854.10
20250818,1426.99,1428.5,1436.64,1423.1,47377.98,677347.79
20250815,1426.01,1422.08,1428.66,1420.22,47581.65,677243.70
20250814,1420.94,1426.99,1447.51,1420.94,48129.3,689753.53
20250813,1425,1420.05,1433.68,1420,65527.54,932546.01
20250812,1449,1437.04,1465.07,1436,42019.23,609534.20
20250811,1423.5,1445,1451.99,1423,47159.07,679403.41
20250808,1423.05,1420.97,1426.5,1418,18655.28,265147.81
20250807,1423.88,1422.35,1427.7,1420.06,28001.34,398876.58
20250806,1429,1423.88,1429,1419.3,23699.28,337233.49
20250805,1421,1427.74,1429.94,1417.11,25342.27,360793.15
20250804,1415,1419,1419.8,1414,18687.95,264710.57
20250801,1421.87,1417,1425.96,1414,29635.59,420085.08
20250731,1443,1421.67,1444.87,1418,51797.51,738630.28
20250730,1444,1449.44,1457.16,1437,31867.71,461288.30
