交易日期,开盘,收盘,最高,最低,成交量,成交额(万元)
20241231,11.93,11.7,11.99,11.7,1475367.33,174724.21
20241230,11.78,11.95,11.97,11.78,1351846.36,161089.21
20241227,11.87,11.83,11.9,11.66,1290012.28,151838.33
20241226,11.92,11.86,11.93,11.78,1000074.7,118374.55
20241225,11.86,11.92,12.02,11.84,1475282.94,175995.66
20241224,11.72,11.86,11.87,11.72,1350836.91,159569.88
20241223,11.64,11.73,11.84,11.64,1659404.76,195351.95
20241220,11.59,11.62,11.7,11.58,714646.27,83143.75
20241219,11.59,11.59,11.64,11.54,697379.04,80846.57
20241218,11.58,11.65,11.74,11.57,1016589.66,118628.58
20241217,11.57,11.53,11.65,11.52,802119.95,92922.55
20241216,11.56,11.57,11.66,11.53,805717.78,93422.62
20241213,11.79,11.56,11.8,11.56,1343792.89,156558.91
20241212,11.73,11.85,11.87,11.71,986234.59,116406.24
20241211,11.79,11.73,11.83,11.72,967691.45,113837.42
20241210,11.9,11.79,11.95,11.75,2167807.24,256460.07
20241209,11.63,11.67,11.72,11.59,964063.16,112344.19
20241206,11.44,11.66,11.7,11.43,1726269.27,200427.05
20241205,11.44,11.44,11.5,11.41,687108.83,78613.80
20241204,11.44,11.46,11.53,11.37,1007470.59,115462.34
20241203,11.37,11.49,11.5,11.35,1082559.36,123699.27
20241202,11.39,11.39,11.4,11.31,975433.66,110878.56
20241129,11.37,11.38,11.46,11.34,1028487.58,117331.62
20241128,11.39,11.34,11.42,11.32,733168.54,83312.13
20241127,11.24,11.39,11.39,11.15,895178.05,101000.20
20241126,11.18,11.27,11.31,11.14,831078.2,93373.39
20241125,11.28,11.18,11.34,11.14,1166020.32,131013.06
20241122,11.59,11.28,11.61,11.28,1625317.44,185807.16
20241121,11.62,11.59,11.65,11.56,883408.06,102399.84
20241120,11.67,11.64,11.75,11.61,1286572.48,149881.80
20241119,11.75,11.68,11.96,11.55,2430036.65,284966.17
20241118,11.63,11.75,12.04,11.62,3797324.45,449324.91
20241115,11.5,11.44,11.61,11.42,1215783.51,139930.87
20241114,11.59,11.54,11.7,11.53,1159783.11,134837.82
20241113,11.5,11.61,11.7,11.48,1086263.28,126016.19
20241112,11.58,11.54,11.84,11.51,1717662.55,200579.14
20241111,11.63,11.6,11.68,11.47,1486951.64,171796.16
20241108,11.94,11.72,12.01,11.7,1895104.15,223906.05
20241107,11.5,11.91,11.93,11.48,2242843.79,262700.76
20241106,11.62,11.55,11.64,11.47,1462286.36,168997.75
20241105,11.42,11.65,11.66,11.39,1665418.4,192526.07
20241104,11.43,11.46,11.46,11.26,1131516.11,128587.41
20241101,11.38,11.43,11.55,11.34,1589811.11,182142.34
20241031,11.33,11.38,11.44,11.24,1250205.39,141962.43
20241030,11.5,11.32,11.58,11.27,1482402.79,168650.17
20241029,11.62,11.54,11.74,11.53,1198024.82,139115.03
20241028,11.68,11.64,11.68,11.53,1169486.98,135600.90
20241025,11.77,11.71,11.78,11.69,1105754.68,129684.44
20241024,11.81,11.75,11.86,11.72,885299.42,104281.86
20241023,11.82,11.86,11.89,11.75,1511866.04,178723.68
